Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level
Darley Road Cinnamon Gardens,2022-06-23,10:47,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,46-55,0,2,Low
Bambalapitiya Railway Station Area,2024-08-19,02:26,Minor Injury,Multi-vehicle Collision,Distracted Driving,3,Motorcycle; Car; Bicycle,26-35,0,2,High
Union Place Slave Island,2023-08-28,14:35,Minor Injury,Rear-end Collision,Overspeeding,2,Car; Motorcycle,26-35,0,2,Low
Bauddhaloka Mawatha Cinnamon Gardens,2022-12-11,10:37,Serious Injury,Single Vehicle Crash,Reckless Driving,1,Car,46-55,0,6,High
Ibbanwala Junction,2023-07-16,08:39,Minor Injury,Side-impact Collision,Driver Negligence,4,Car; Bicycle; Motorcycle; Three Wheeler,36-45,0,2,Moderate
Maradana Railway Station Area,2022-12-12,16:19,Serious Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Car,18-25,0,4,Moderate
Depanama Junction,2024-08-21,23:52,Minor Injury,Head-on Collision,Driver Negligence,1,Van,18-25,0,4,Low
Panchikawatte,2025-01-29,18:01,Serious Injury,Rear-end Collision,Driver Negligence,4,Three Wheeler; Motorcycle; Van; Bicycle,36-45,0,3,High
Modara Junction,2023-02-08,05:10,Minor Injury,Pedestrian Collision,Mechanical Failure,1,Motorcycle,18-25,0,1,Low
Armour Street Junction,2024-06-18,17:44,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,56+,0,3,Low
Thimbirigasyaya Junction,2023-02-17,18:37,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,3,Motorcycle; Car; Bus,56+,0,1,Low
Pettah Clock Tower Area,2025-11-22,09:33,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,36-45,0,1,Moderate
Kotahena Junction,2024-05-31,15:14,Fatal,Multi-vehicle Collision,Driver Fatigue,4,Bus; Three Wheeler; Car; Motorcycle,18-25,2,4,High
Rajagiriya Junction,2024-06-20,23:39,Minor Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,26-35,0,1,High
Fort Railway Station Area,2023-05-08,06:07,Minor Injury,Side-impact Collision,Poor Visibility,3,Motorcycle; Three Wheeler; Van,18-25,0,2,Low
Galle Road Kollupitiya,2023-03-14,17:59,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,36-45,0,4,Low
Pamankada Junction,2022-09-13,03:52,Fatal,Pedestrian Collision,Driver Negligence,2,Motorcycle; Car,26-35,1,5,High
Dematagoda Junction,2024-07-12,13:24,Minor Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,18-25,0,1,Moderate
Justice Akbar Mawatha Slave Island,2023-01-29,08:33,Minor Injury,Rear-end Collision,Reckless Driving,2,Motorcycle; Car,36-45,0,2,Low
Slave Island Junction,2023-06-29,17:23,Serious Injury,Multi-vehicle Collision,Overspeeding,3,Lorry; Three Wheeler; Car,26-35,0,2,High
Narahenpita Junction,2023-09-29,07:23,Serious Injury,Multi-vehicle Collision,Reckless Driving,4,Motorcycle; Three Wheeler; Bus; Bicycle,18-25,0,4,High
Bauddhaloka Mawatha Cinnamon Gardens,2025-05-06,16:22,Serious Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,36-45,0,5,High
Mattakkuliya Junction,2023-06-13,21:39,Minor Injury,Side-impact Collision,Distracted Driving,1,Motorcycle,18-25,0,1,Low
"No. 78 High Level Road, Gangodawila, Nugegoda",2024-02-28,21:32,Serious Injury,Side-impact Collision,Overspeeding,4,Motorcycle; Three Wheeler; Van; Car,46-55,0,4,Moderate
Panchikawatte,2025-04-22,04:16,Minor Injury,Single Vehicle Crash,Distracted Driving,1,Three Wheeler,26-35,0,3,Low
Borella Junction,2024-03-13,16:33,Fatal,Side-impact Collision,Poor Visibility,2,Three Wheeler; Bicycle,36-45,1,5,Moderate
Slave Island Junction,2025-02-04,12:10,Minor Injury,Pedestrian Collision,Unsafe Lane Change,1,Motorcycle,56+,0,2,Low
High Level Road Kirulapone,2023-12-12,07:59,Minor Injury,Pedestrian Collision,Unsafe Lane Change,1,Motorcycle,46-55,0,2,Low
Fort Bus Stand Area,2024-07-28,08:04,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Motorcycle; Car; Three Wheeler; Van,26-35,0,1,Low
Maligawatte Junction,2025-12-21,23:24,Minor Injury,Motorcycle Collision,Driver Fatigue,1,Motorcycle,56+,0,1,Low
Modara Junction,2022-07-19,22:38,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Car,36-45,0,2,Low
Liberty Plaza Area,2024-11-13,16:33,Minor Injury,Pedestrian Collision,Reckless Driving,1,Van,26-35,0,2,Moderate
Modara Junction,2023-12-13,09:32,Fatal,Side-impact Collision,Distracted Driving,1,Three Wheeler,46-55,1,4,High
Hokandara Junction,2025-11-28,16:51,Serious Injury,Multi-vehicle Collision,Overspeeding,4,Bus; Motorcycle; Car; Bicycle,56+,0,6,High
Havelock Road Havelock Town,2025-05-23,17:27,Minor Injury,Single Vehicle Crash,Driver Fatigue,1,Lorry,36-45,0,1,Low
Galle Road Fort,2025-04-21,10:01,Serious Injury,Side-impact Collision,Driver Negligence,4,Motorcycle; Van; Bus; Car,36-45,0,5,High
Borella Junction,2025-01-30,22:59,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,46-55,0,1,Low
Wijerama Junction,2022-08-01,17:12,Minor Injury,Pedestrian Collision,Failure to Yield,2,Motorcycle; Three Wheeler,18-25,0,1,Low
Sir Chittampalam A Gardiner Mawatha Fort,2023-08-24,14:55,Minor Injury,Rear-end Collision,Failure to Yield,2,Van; Motorcycle,26-35,0,1,Low
Colombo Fort Bus Stand Area,2024-03-31,18:38,Serious Injury,Multi-vehicle Collision,Driver Negligence,4,Motorcycle; Three Wheeler; Bicycle; Car,36-45,0,4,High
Bambalapitiya Junction,2025-06-11,04:45,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Three Wheeler,26-35,0,1,Low
Pelawatta Junction,2024-12-19,17:35,Serious Injury,Motorcycle Collision,Overspeeding,3,Motorcycle; Three Wheeler; Bicycle,18-25,0,3,Moderate
"No. 45 Jawatte Road, Colombo 05",2025-02-26,07:50,Fatal,Rear-end Collision,Unsafe Lane Change,1,Bus,18-25,1,1,High
Kochchikade Junction,2023-01-04,09:37,Minor Injury,Pedestrian Collision,Overspeeding,1,Bicycle,56+,0,2,Low
Union Place Slave Island,2023-09-19,19:34,Minor Injury,Single Vehicle Crash,Reckless Driving,1,Lorry,46-55,0,3,Moderate
"No. 5 T B Jayah Mawatha, Maradana, Colombo 10",2022-09-01,19:58,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,0,1,Moderate
Pettah Clock Tower Area,2022-04-14,18:21,Minor Injury,Rear-end Collision,Distracted Driving,3,Motorcycle; Car; Three Wheeler,18-25,0,2,Low
Sir Chittampalam A Gardiner Mawatha Fort,2024-10-20,14:51,Fatal,Pedestrian Collision,Overspeeding,1,Motorcycle,18-25,1,5,High
Hulftsdorp Junction,2022-12-11,08:37,Fatal,Head-on Collision,Distracted Driving,1,Lorry,18-25,1,2,High
"No. 12 Nawala Road, Rajagiriya",2022-06-04,21:11,Serious Injury,Rear-end Collision,Overspeeding,1,Car,26-35,0,4,Moderate
Borella Junction,2024-07-12,21:25,Minor Injury,Rear-end Collision,Failure to Yield,3,Motorcycle; Lorry; Car,18-25,0,1,Low
Kadawatha Junction,2023-06-24,17:41,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,46-55,0,3,Moderate
Galle Road Kollupitiya,2024-02-28,12:07,Minor Injury,Head-on Collision,Distracted Driving,3,Motorcycle; Bus; Three Wheeler,36-45,0,4,Low
Galle Road Moratuwa,2023-11-07,16:49,Serious Injury,Rear-end Collision,Failure to Yield,2,Motorcycle; Three Wheeler,26-35,0,4,High
Kollupitiya Junction,2025-10-14,12:00,Fatal,Motorcycle Collision,Overspeeding,3,Motorcycle; Lorry; Car,36-45,1,1,Moderate
Nelum Pokuna Area,2024-11-03,18:31,Serious Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Three Wheeler,56+,0,4,High
Bambalapitiya Junction,2022-09-11,19:54,Minor Injury,Side-impact Collision,Driver Negligence,3,Motorcycle; Three Wheeler; Bus,56+,0,4,Moderate
High Level Road Kirulapone,2025-08-11,23:19,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Bus,18-25,0,1,Moderate
Sea Street Kotahena,2025-09-16,08:48,Minor Injury,Head-on Collision,Pedestrian Negligence,1,Motorcycle,18-25,0,2,Low
