Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude,conditions,precip,visibility,humidity,cloudcover,sunrise,sunset,weather_condition_label,visibility_level
Dehiwela Railway Station Area,2025-04-23,18:42,Minor Injury,Rear-end Collision,Drunk Driving,2,Motorcycle; Three Wheeler,26-35,0,3,Moderate,"Dehiwela Railway Station Area, Colombo, Sri Lanka","Dehiwela Railway Station Area, Colombo, Sri Lanka","Dehiwala Railway Station, Colombo, Sri Lanka",6.8509059,79.86209749999999,Partially cloudy,0.009,6.7,79.9,32.6,2025-04-23T05:59:24,2025-04-23T18:18:46,Partially Cloudy,Good
Union Place Slave Island,2024-01-04,17:03,Minor Injury,Side-impact Collision,Mechanical Failure,2,Motorcycle; Three Wheeler,46-55,0,2,Moderate,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057,Partially cloudy,0.002,7.6,80.5,41.5,2024-01-04T06:23:23,2024-01-04T18:07:19,Partially Cloudy,Good
Justice Akbar Mawatha Slave Island,2024-02-09,17:43,Minor Injury,Side-impact Collision,Driver Negligence,1,Motorcycle,46-55,0,4,Moderate,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668,Partially cloudy,0.0,6.0,72.6,29.9,2024-02-09T06:28:49,2024-02-09T18:21:04,Partially Cloudy,Moderate
Bambalapitiya Junction,2024-08-18,19:31,Serious Injury,Rear-end Collision,Distracted Driving,1,Motorcycle,46-55,0,2,High,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Partially cloudy,0.0,5.5,80.8,80.0,2024-08-18T06:04:39,2024-08-18T18:24:18,Partially Cloudy,Moderate
Borella Junction,2023-07-01,18:40,Serious Injury,Pedestrian Collision,Reckless Driving,2,Motorcycle; Three Wheeler,26-35,0,2,Low,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481,"Rain, Partially cloudy",0.154,8.0,82.7,60.1,2023-07-01T05:58:58,2023-07-01T18:30:02,Light Rain,Good
Galle Road Fort,2022-03-15,14:38,Minor Injury,Rear-end Collision,Overspeeding,1,Motorcycle,46-55,0,1,Moderate,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204,Clear,0.0,6.3,83.9,16.2,2022-03-15T06:17:22,2022-03-15T18:22:02,Clear,Good
Sir Chittampalam A Gardiner Mawatha Fort,2022-03-09,08:02,Minor Injury,Multi-vehicle Collision,Driver Fatigue,2,Motorcycle; Three Wheeler,18-25,0,3,Moderate,"Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawatha Fort, Colombo, Sri Lanka","Sir Chittampalam A Gardiner Mawath, Colombo, Sri Lanka",6.9298377,79.8477933,Rain,0.05,6.9,84.5,14.4,2022-03-09T06:20:07,2022-03-09T18:22:30,Light Rain,Good
"Junction of Baseline Road and Elvitigala Mawatha, Colombo 08",2024-05-22,09:01,Serious Injury,Motorcycle Collision,Driver Negligence,3,Motorcycle; Car; Bicycle,26-35,0,2,High,"Junction of Baseline Road and Elvitigala Mawatha, Colombo 08, Colombo, Sri Lanka","Junction of Baseline Road and Elvitigala Mawatha, Colombo 08, Colombo, Sri Lanka","Elvitigala Mawatha, Colombo, Sri Lanka",6.9040558,79.8772209,"Rain, Partially cloudy",0.036,6.2,85.2,65.8,2024-05-22T05:53:28,2024-05-22T18:21:26,Light Rain,Good
Union Place Borella,2025-02-25,15:28,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Car,26-35,0,4,High,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,Partially cloudy,0.006,6.8,68.3,23.5,2025-02-25T06:24:47,2025-02-25T18:22:49,Partially Cloudy,Good
Narahenpita Junction,2025-09-06,20:32,Fatal,Single Vehicle Crash,Reckless Driving,1,Three Wheeler,46-55,1,5,Moderate,"Narahenpita Junction, Colombo, Sri Lanka","Narahenpita Junction, Colombo, Sri Lanka","Narahenpita, Colombo 00500, Sri Lanka",6.8899209,79.8826281,"Rain, Partially cloudy",0.048,7.4,71.0,26.2,2025-09-06T06:02:36,2025-09-06T18:15:31,Light Rain,Good
Armour Street Junction,2022-11-08,01:35,Fatal,Rear-end Collision,Driver Negligence,1,Motorcycle,26-35,1,3,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618,"Rain, Partially cloudy",0.534,8.2,85.0,37.5,2022-11-08T05:59:07,2022-11-08T17:49:34,Light Rain,Good
Fort Railway Station Area,2023-08-14,18:34,Minor Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Van,26-35,0,3,Low,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",0.025,8.0,75.8,53.6,2023-08-14T06:04:50,2023-08-14T18:26:04,Light Rain,Good
Liberty Plaza Area,2024-03-15,14:20,Minor Injury,Head-on Collision,Reckless Driving,2,Bicycle; Three Wheeler,26-35,0,2,Low,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999,Partially cloudy,0.0,5.5,78.2,29.2,2024-03-15T06:17:08,2024-03-15T18:22:00,Partially Cloudy,Moderate
Galle Road Fort,2024-02-04,07:26,Minor Injury,Rear-end Collision,Reckless Driving,4,Three Wheeler; Car; Bus; Motorcycle,56+,0,1,Low,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204,Partially cloudy,0.0,6.7,77.2,49.7,2024-02-04T06:29:16,2024-02-04T18:19:57,Partially Cloudy,Good
Maradana Railway Station Area,2023-10-18,10:18,Serious Injury,Pedestrian Collision,Driver Negligence,2,Three Wheeler; Motorcycle,26-35,0,6,High,"Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station Area, Colombo, Sri Lanka","Maradana Railway Station, Jayantha Weerasekara Mawatha, Colombo 01000, Sri Lanka",6.92946,79.86511000000002,"Rain, Partially cloudy",1.749,6.6,92.3,70.0,2023-10-18T05:57:09,2023-10-18T17:54:37,Light Rain,Good
Galle Road Fort,2024-05-20,17:01,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,36-45,0,2,Low,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204,"Rain, Partially cloudy",0.208,5.6,92.3,74.2,2024-05-20T05:53:33,2024-05-20T18:21:04,Light Rain,Moderate
Baseline Road Borella,2023-07-30,09:37,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Three Wheeler,56+,0,3,Moderate,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917,Partially cloudy,0.0,8.1,77.9,50.1,2023-07-30T06:04:17,2023-07-30T18:30:02,Partially Cloudy,Good
Madampitiya Road,2022-08-13,12:21,Minor Injury,Side-impact Collision,Poor Visibility,4,Three Wheeler; Motorcycle; Van; Lorry,36-45,0,3,Low,"Madampitiya Road, Colombo, Sri Lanka","Madampitiya Road, Colombo, Sri Lanka","Madampitiya Rd, Colombo, Sri Lanka",6.9624445,79.8714976,Partially cloudy,0.0,8.2,79.3,31.9,2022-08-13T06:04:50,2022-08-13T18:26:19,Partially Cloudy,Good
Baseline Road Dematagoda,2024-02-27,15:27,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Car,18-25,0,5,High,"Baseline Road Dematagoda, Colombo, Sri Lanka","Baseline Road Dematagoda, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.9341248,79.8782223,Partially cloudy,0.0,6.3,64.7,34.9,2024-02-27T06:24:21,2024-02-27T18:22:49,Partially Cloudy,Good
Duplication Road Bambalapitiya,2023-08-31,07:22,Fatal,Pedestrian Collision,Overspeeding,1,Motorcycle,26-35,1,3,Low,"Duplication Road Bambalapitiya, Colombo, Sri Lanka","Duplication Road Bambalapitiya, Colombo, Sri Lanka","450 E R. A. De Mel Mawatha, Colombo 00200, Sri Lanka",6.9024028,79.8545389,"Rain, Partially cloudy",1.538,7.5,88.8,85.9,2023-08-31T06:03:29,2023-08-31T18:18:48,Light Rain,Good
Ekala Junction,2024-09-30,07:50,Fatal,Rear-end Collision,Reckless Driving,1,Motorcycle,18-25,1,1,Moderate,"Ekala Junction, Colombo, Sri Lanka","Ekala Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243,Partially cloudy,0.004,6.3,89.5,57.1,2024-09-30T05:58:41,2024-09-30T18:02:29,Partially Cloudy,Good
Orugodawatta Junction,2024-02-27,07:15,Serious Injury,Motorcycle Collision,Overspeeding,1,Motorcycle,36-45,0,6,High,"Orugodawatta Junction, Colombo, Sri Lanka","Orugodawatta Junction, Colombo, Sri Lanka","WVWM+7XQ, Sri Lanka",6.9457149,79.8849868,Partially cloudy,0.0,6.3,64.7,34.9,2024-02-27T06:24:21,2024-02-27T18:22:49,Partially Cloudy,Good
Bambalapitiya Junction,2022-02-23,14:31,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Motorcycle; Three Wheeler; Lorry,18-25,0,2,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468,Rain,0.232,6.8,81.8,13.1,2022-02-23T06:25:31,2022-02-23T18:22:43,Light Rain,Good
Slave Island Junction,2024-11-25,07:25,Serious Injury,Side-impact Collision,Overspeeding,3,Bicycle; Motorcycle; Three Wheeler,18-25,0,5,High,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,"Rain, Overcast",0.012,6.1,92.9,99.8,2024-11-25T06:04:45,2024-11-25T17:50:45,Light Rain,Good
"No. 9 Thimbirigasyaya Road, Colombo 05",2024-06-14,08:54,Minor Injury,Single Vehicle Crash,Pedestrian Negligence,1,Three Wheeler,26-35,0,4,Low,"No. 9 Thimbirigasyaya Road, Colombo 05, Colombo, Sri Lanka","No. 9 Thimbirigasyaya Road, Colombo 05, Colombo, Sri Lanka","9 Thimbirigasyaya Rd, Colombo 00500, Sri Lanka",6.894595499999999,79.8708351,Partially cloudy,0.0,6.8,75.8,53.4,2024-06-14T05:55:27,2024-06-14T18:26:43,Partially Cloudy,Good
Union Place Borella,2024-05-01,09:35,Minor Injury,Multi-vehicle Collision,Poor Visibility,4,Van; Three Wheeler; Motorcycle; Bicycle,18-25,0,4,Low,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,"Rain, Partially cloudy",0.064,12.6,82.3,55.8,2024-05-01T05:56:46,2024-05-01T18:18:53,Light Rain,Good
Sea Street Kotahena,2024-05-13,18:38,Minor Injury,Head-on Collision,Driver Negligence,1,Three Wheeler,26-35,0,2,High,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.083,6.5,81.8,37.0,2024-05-13T05:54:15,2024-05-13T18:19:58,Light Rain,Good
"Junction of Galle Road and Lauries Road, Colombo 04",2024-02-20,18:22,Serious Injury,Side-impact Collision,Overspeeding,2,Car; Bicycle,46-55,0,6,Moderate,"Junction of Galle Road and Lauries Road, Colombo 04, Colombo, Sri Lanka","Junction of Galle Road and Lauries Road, Colombo 04, Colombo, Sri Lanka","Lauries Rd & Galle Rd, Colombo, Sri Lanka",6.894600199999999,79.8551806,Partially cloudy,0.0,5.8,79.1,26.2,2024-02-20T06:26:34,2024-02-20T18:22:32,Partially Cloudy,Moderate
York Street Fort,2022-12-27,07:17,Minor Injury,Pedestrian Collision,Unsafe Lane Change,1,Motorcycle,26-35,0,1,Moderate,"York Street Fort, Colombo, Sri Lanka","York Street Fort, Colombo, Sri Lanka","York St, Colombo, Sri Lanka",6.9351279,79.8449701,Clear,0.0,8.0,79.2,18.6,2022-12-27T06:19:58,2022-12-27T18:03:18,Clear,Good
"No. 23 Kynsey Road, Colombo 08",2024-05-11,14:35,Minor Injury,Rear-end Collision,Overspeeding,1,Bicycle,18-25,0,3,Low,"No. 23 Kynsey Road, Colombo 08, Colombo, Sri Lanka","No. 23 Kynsey Road, Colombo 08, Colombo, Sri Lanka","23 Kynsey Rd, Colombo 01000, Sri Lanka",6.9204655,79.8696448,"Rain, Partially cloudy",0.051,6.9,83.1,45.0,2024-05-11T05:54:33,2024-05-11T18:19:43,Light Rain,Good
Slave Island Junction,2024-06-22,22:58,Minor Injury,Multi-vehicle Collision,Distracted Driving,4,Three Wheeler; Bus; Lorry; Motorcycle,18-25,0,2,High,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123,"Rain, Partially cloudy",0.052,7.1,73.9,59.7,2024-06-22T05:57:05,2024-06-22T18:28:32,Light Rain,Good
Justice Akbar Mawatha Slave Island,2024-08-09,14:28,Minor Injury,Rear-end Collision,Reckless Driving,2,Car; Three Wheeler,46-55,0,3,Low,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668,Partially cloudy,0.0,6.0,75.3,50.7,2024-08-09T06:04:52,2024-08-09T18:27:28,Partially Cloudy,Moderate
"Junction of York Street and Chatham Street, Colombo 01",2022-08-29,09:32,Minor Injury,Rear-end Collision,Drunk Driving,1,Motorcycle,46-55,0,1,Low,"Junction of York Street and Chatham Street, Colombo 01, Colombo, Sri Lanka","Junction of York Street and Chatham Street, Colombo 01, Colombo, Sri Lanka","Chatham St & York St, Colombo, Sri Lanka",6.9343151,79.8447736,Partially cloudy,0.0,7.4,81.6,30.8,2022-08-29T06:03:42,2022-08-29T18:19:39,Partially Cloudy,Good
Kotahena Junction,2025-06-30,14:11,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,18-25,0,2,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.0,7.2,73.2,29.3,2025-06-30T05:58:53,2025-06-30T18:29:59,Partially Cloudy,Good
High Level Road Kirulapone,2022-01-22,12:19,Fatal,Rear-end Collision,Overspeeding,1,Motorcycle,56+,1,3,High,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098,Clear,0.0,6.9,80.0,4.9,2022-01-22T06:28:37,2022-01-22T18:15:52,Clear,Good
Sea Street Kotahena,2025-09-10,16:13,Fatal,Side-impact Collision,Unsafe Lane Change,2,Three Wheeler; Car,46-55,1,2,High,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.076,7.2,69.5,24.8,2025-09-10T06:01:58,2025-09-10T18:13:23,Light Rain,Good
Galle Road Wellawatte,2025-02-07,23:33,Serious Injury,Motorcycle Collision,Failure to Yield,2,Motorcycle; Bicycle,26-35,0,3,High,"Galle Road Wellawatte, Colombo, Sri Lanka","Galle Road Wellawatte, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.8755051,79.861039,Clear,0.0,5.1,63.9,15.8,2025-02-07T06:28:58,2025-02-07T18:20:49,Clear,Moderate
Nugegoda Junction,2023-04-22,13:05,Minor Injury,Head-on Collision,Reckless Driving,1,Car,36-45,0,3,Low,"Nugegoda Junction, Colombo, Sri Lanka","Nugegoda Junction, Colombo, Sri Lanka","Nugegoda Junction, Nugegoda, Sri Lanka",6.872351,79.89024859999999,"Rain, Partially cloudy",0.517,8.2,80.6,48.6,2023-04-22T05:59:56,2023-04-22T18:18:46,Light Rain,Good
Battaramulla Junction,2023-01-28,08:31,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,46-55,0,1,Low,"Battaramulla Junction, Colombo, Sri Lanka","Battaramulla Junction, Colombo, Sri Lanka","WW29+RVC, Battaramulla - Pannipitiya Rd, Sri Jayawardenepura Kotte, Sri Lanka",6.9020717,79.91965359999999,Partially cloudy,0.0,8.1,74.4,46.2,2023-01-28T06:29:13,2023-01-28T18:17:58,Partially Cloudy,Good
Hulftsdorp Junction,2024-04-27,18:51,Fatal,Motorcycle Collision,Failure to Yield,2,Motorcycle; Three Wheeler,18-25,1,1,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,"Rain, Partially cloudy",0.126,7.1,85.8,53.2,2024-04-27T05:57:57,2024-04-27T18:18:46,Light Rain,Good
Mutwal Road Mutwal,2025-07-27,07:35,Fatal,Multi-vehicle Collision,Reckless Driving,4,Car; Three Wheeler; Motorcycle; Van,26-35,2,8,Moderate,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458,Partially cloudy,0.0,6.8,77.3,32.4,2025-07-27T06:04:03,2025-07-27T18:30:27,Partially Cloudy,Good
Bauddhaloka Mawatha Cinnamon Gardens,2024-09-23,22:50,Minor Injury,Multi-vehicle Collision,Distracted Driving,2,Three Wheeler; Motorcycle,36-45,0,2,Moderate,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402,Partially cloudy,0.0,6.2,77.5,56.4,2024-09-23T05:59:45,2024-09-23T18:06:11,Partially Cloudy,Good
"No. 65 Vajira Road, Colombo 05",2023-02-07,15:03,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,46-55,0,1,Low,"No. 65 Vajira Road, Colombo 05, Colombo, Sri Lanka","No. 65 Vajira Road, Colombo 05, Colombo, Sri Lanka","65 Vajira Rd, Colombo 00500, Sri Lanka",6.891528699999999,79.8608558,Partially cloudy,0.007,8.5,81.0,58.9,2023-02-07T06:29:01,2023-02-07T18:20:42,Partially Cloudy,Good
Justice Akbar Mawatha Slave Island,2025-11-06,23:50,Minor Injury,Multi-vehicle Collision,Overspeeding,4,Three Wheeler; Car; Van; Motorcycle,18-25,0,3,Low,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668,"Rain, Partially cloudy",0.228,7.0,75.4,39.1,2025-11-06T05:58:47,2025-11-06T17:49:46,Light Rain,Good
Kotahena Junction,2022-11-16,18:07,Serious Injury,Motorcycle Collision,Poor Visibility,4,Motorcycle; Bicycle; Three Wheeler; Car,56+,0,6,High,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776,Partially cloudy,0.004,8.0,81.3,23.2,2022-11-16T06:01:15,2022-11-16T17:49:28,Partially Cloudy,Good
Sea Street Kotahena,2024-07-23,20:54,Serious Injury,Pedestrian Collision,Driver Negligence,2,Car; Van,26-35,0,4,High,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501,"Rain, Partially cloudy",0.472,7.4,79.7,32.5,2024-07-23T06:03:33,2024-07-23T18:30:53,Light Rain,Good
Hulftsdorp Junction,2024-11-18,20:18,Serious Injury,Multi-vehicle Collision,Unsafe Lane Change,4,Motorcycle; Three Wheeler; Lorry; Car,26-35,0,2,High,"Hulftsdorp Junction, Colombo, Sri Lanka","Hulftsdorp Junction, Colombo, Sri Lanka","Hultsdorf St, Colombo, Sri Lanka",6.9375553,79.8608161,"Rain, Partially cloudy",0.398,11.7,84.9,76.1,2024-11-18T06:02:05,2024-11-18T17:49:41,Light Rain,Good
Borella Police Area,2022-12-19,19:01,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Bus,36-45,0,1,Low,"Borella Police Area, Colombo, Sri Lanka","Borella Police Area, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,"Rain, Partially cloudy",0.329,7.4,86.9,33.7,2022-12-19T06:16:03,2022-12-19T17:59:17,Light Rain,Good
Havelock Road Havelock Town,2023-12-19,17:40,Fatal,Rear-end Collision,Failure to Yield,2,Bicycle; Motorcycle,36-45,1,5,High,"Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Rd, Colombo 00500, Sri Lanka",6.8903417,79.8638234,"Rain, Partially cloudy",0.142,8.5,85.1,61.9,2023-12-19T06:15:56,2023-12-19T17:59:11,Light Rain,Good
Baseline Road Borella,2022-06-03,18:30,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Lorry,18-25,0,1,Moderate,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917,"Rain, Partially cloudy",0.304,7.9,82.6,29.3,2022-06-03T05:53:48,2022-06-03T18:23:54,Light Rain,Good
Town Hall Area,2022-12-14,18:38,Minor Injury,Motorcycle Collision,Driver Fatigue,3,Motorcycle; Bicycle; Car,36-45,0,1,Moderate,"Town Hall Area, Colombo, Sri Lanka","Town Hall Area, Colombo, Sri Lanka","Town Hall, Colombo 01000, Sri Lanka",6.9158502,79.8637861,"Rain, Partially cloudy",0.599,7.8,79.7,22.6,2022-12-14T06:13:31,2022-12-14T17:56:58,Light Rain,Good
Panchikawatte,2025-07-07,21:06,Serious Injury,Multi-vehicle Collision,Driver Negligence,3,Car; Motorcycle; Lorry,56+,0,5,Moderate,"Panchikawatte, Colombo, Sri Lanka","Panchikawatte, Colombo, Sri Lanka","Panchikawatta, Colombo 01000, Sri Lanka",6.9309682,79.8639835,Partially cloudy,0.0,6.7,73.5,23.3,2025-07-07T06:00:29,2025-07-07T18:30:52,Partially Cloudy,Good
Fort Railway Station Area,2024-10-27,17:07,Minor Injury,Motorcycle Collision,Driver Negligence,1,Motorcycle,56+,0,1,Low,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999,"Rain, Partially cloudy",0.055,5.9,89.6,52.6,2024-10-27T05:57:26,2024-10-27T17:51:32,Light Rain,Moderate
Union Place Borella,2024-06-14,09:42,Minor Injury,Side-impact Collision,Driver Negligence,2,Lorry; Bicycle,18-25,0,1,Low,"Union Place Borella, Colombo, Sri Lanka","Union Place Borella, Colombo, Sri Lanka","Colombo 08, Colombo, Sri Lanka",6.9147836,79.8775951,Partially cloudy,0.0,6.8,75.8,53.4,2024-06-14T05:55:27,2024-06-14T18:26:43,Partially Cloudy,Good
"Junction of Beira Lake Road and Ananda Coomaraswamy Mawatha, Colombo 03",2022-04-06,19:36,Minor Injury,Pedestrian Collision,Overspeeding,1,Motorcycle,56+,0,1,High,"Junction of Beira Lake Road and Ananda Coomaraswamy Mawatha, Colombo 03, Colombo, Sri Lanka","Junction of Beira Lake Road and Ananda Coomaraswamy Mawatha, Colombo 03, Colombo, Sri Lanka","42/3 Ananda Coomaraswamy Mawatha, Colombo 00030, Sri Lanka",6.911646999999999,79.8528456,Clear,0.0,8.1,83.1,16.5,2022-04-06T06:06:40,2022-04-06T18:19:44,Clear,Good
Pamankada Junction,2025-01-01,13:50,Minor Injury,Pedestrian Collision,Reckless Driving,2,Car; Bus,18-25,0,2,Low,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529,Partially cloudy,0.004,7.3,87.8,68.9,2025-01-01T06:22:27,2025-01-01T18:06:10,Partially Cloudy,Good
