Location,Date of Accident,Time of Accident,Accident Severity,Collision Type,Cause of Accident,Number of Vehicles,Vehicle Types,Driver Age Group,Number of Fatalities,Number of Injuries,Property Damage Level,location_standardized,location_name,formatted_address,latitude,longitude
Baseline Road Borella,2022-02-16,17:42,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Three Wheeler,18-25,0,1,Moderate,"Baseline Road Borella, Colombo, Sri Lanka","Baseline Road Borella, Colombo, Sri Lanka","Baseline Rd, Colombo, Sri Lanka",6.919902,79.8776917
Fort Railway Station Area,2023-12-01,07:08,Fatal,Multi-vehicle Collision,Reckless Driving,3,Bicycle; Motorcycle; Bus,26-35,1,6,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Marine Drive Kollupitiya,2023-07-06,22:59,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,18-25,0,1,Low,"Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive Kollupitiya, Colombo, Sri Lanka","Marine Drive, Colombo, Sri Lanka",6.9061405,79.8497258
Bambalapitiya Junction,2022-04-27,20:04,Minor Injury,Side-impact Collision,Poor Visibility,2,Bicycle; Car,26-35,0,2,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
"Junction of Nawala Road and Parliament Road, Rajagiriya",2023-02-12,17:18,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Van,26-35,0,4,Low,"Junction of Nawala Road and Parliament Road, Rajagiriya, Colombo, Sri Lanka","Junction of Nawala Road and Parliament Road, Rajagiriya, Colombo, Sri Lanka","New Parliament Rd, Battaramulla, Sri Lanka",6.8909701,79.9253454
Bauddhaloka Mawatha Cinnamon Gardens,2025-06-26,08:12,Minor Injury,Side-impact Collision,Reckless Driving,2,Lorry; Three Wheeler,26-35,0,3,Moderate,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Wellawatte Junction,2022-11-13,08:09,Minor Injury,Rear-end Collision,Overspeeding,1,Car,18-25,0,2,Low,"Wellawatte Junction, Colombo, Sri Lanka","Wellawatte Junction, Colombo, Sri Lanka","Wellawatte, Colombo 00600, Sri Lanka",6.874092099999999,79.8604934
Bambalapitiya Junction,2024-11-09,13:22,Minor Injury,Multi-vehicle Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,4,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
"Junction of High Level Road and Wijerama Mawatha, Nugegoda",2025-04-14,07:56,Minor Injury,Motorcycle Collision,Mechanical Failure,4,Motorcycle; Car; Lorry; Three Wheeler,26-35,0,3,Low,"Junction of High Level Road and Wijerama Mawatha, Nugegoda, Colombo, Sri Lanka","Junction of High Level Road and Wijerama Mawatha, Nugegoda, Colombo, Sri Lanka","High Level Rd & Wijerama Mawatha, Nugegoda, Sri Lanka",6.857702,79.9085652
Borella Junction,2025-11-18,18:18,Minor Injury,Multi-vehicle Collision,Driver Negligence,4,Van; Motorcycle; Three Wheeler; Bicycle,36-45,0,3,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Bambalapitiya Junction,2023-08-23,10:39,Minor Injury,Side-impact Collision,Overspeeding,2,Bicycle; Lorry,26-35,0,2,Moderate,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Kotahena Junction,2022-07-31,09:40,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Three Wheeler,46-55,0,1,Low,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
"No. 17 Temple Road, Mount Lavinia",2022-02-20,08:23,Minor Injury,Multi-vehicle Collision,Reckless Driving,3,Car; Bicycle; Lorry,56+,0,2,Low,"No. 17 Temple Road, Mount Lavinia, Colombo, Sri Lanka","No. 17 Temple Road, Mount Lavinia, Colombo, Sri Lanka","17 Temple Rd, Dehiwala-Mount Lavinia, Sri Lanka",6.8370627,79.8857682
Kollupitiya Flyover Approach,2023-03-24,07:59,Minor Injury,Multi-vehicle Collision,Driver Fatigue,4,Van; Three Wheeler; Motorcycle; Car,18-25,0,3,High,"Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya, Colombo, Sri Lanka",6.912815399999999,79.8506815
Mattakkuliya Junction,2025-02-28,16:53,Minor Injury,Rear-end Collision,Driver Negligence,4,Car; Lorry; Three Wheeler; Motorcycle,46-55,0,4,Moderate,"Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Junction, Colombo, Sri Lanka","Mattakkuliya Brg, Colombo, Sri Lanka",6.9805611,79.875318
High Level Road Kirulapone,2024-12-16,21:40,Minor Injury,Single Vehicle Crash,Drunk Driving,1,Van,26-35,0,1,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Ibbanwala Junction,2025-12-11,18:46,Fatal,Rear-end Collision,Failure to Yield,3,Motorcycle; Car; Van,56+,1,5,Moderate,"Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala Junction, Colombo, Sri Lanka","Ibbanwala, Colombo, Sri Lanka",6.917642,79.8597831
Kotahena Junction,2023-05-31,09:38,Minor Injury,Rear-end Collision,Distracted Driving,1,Lorry,46-55,0,3,Moderate,"Kotahena Junction, Colombo, Sri Lanka","Kotahena Junction, Colombo, Sri Lanka","Kotahena St, Colombo 01300, Sri Lanka",6.9494699,79.8626776
Armour Street Junction,2023-10-23,08:45,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Motorcycle; Three Wheeler; Bicycle; Car,18-25,0,4,High,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Mutwal Road Mutwal,2022-05-07,07:58,Serious Injury,Head-on Collision,Overspeeding,1,Car,36-45,0,5,High,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458
Galle Road Fort,2023-01-12,23:58,Minor Injury,Side-impact Collision,Overspeeding,2,Bicycle; Van,18-25,0,3,Moderate,"Galle Road Fort, Colombo, Sri Lanka","Galle Road Fort, Colombo, Sri Lanka","Galle Buck Rd, Colombo, Sri Lanka",6.9363912,79.8415204
Maradana Junction,2025-01-26,07:51,Minor Injury,Pedestrian Collision,Driver Negligence,1,Motorcycle,56+,0,2,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Borella Junction,2024-11-20,08:46,Fatal,Head-on Collision,Driver Fatigue,2,Three Wheeler; Car,18-25,2,6,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Kirula Road Borella,2025-09-23,17:20,Serious Injury,Single Vehicle Crash,Overspeeding,1,Lorry,46-55,0,3,High,"Kirula Road Borella, Colombo, Sri Lanka","Kirula Road Borella, Colombo, Sri Lanka","Kirula Rd, Colombo 00500, Sri Lanka",6.8929759,79.873639
Kochchikade Junction,2024-05-03,17:05,Serious Injury,Motorcycle Collision,Driver Fatigue,2,Motorcycle; Bus,36-45,0,6,Moderate,"Kochchikade Junction, Colombo, Sri Lanka","Kochchikade Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Pamankada Junction,2024-01-19,10:09,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Three Wheeler,18-25,0,2,Moderate,"Pamankada Junction, Colombo, Sri Lanka","Pamankada Junction, Colombo, Sri Lanka","Pamankada Ln, Colombo, Sri Lanka",6.8756803,79.8676529
Borella Junction,2025-05-19,20:21,Serious Injury,Rear-end Collision,Distracted Driving,2,Car; Bicycle,36-45,0,4,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
"No. 34 Galle Road, Dehiwela",2023-07-12,18:15,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,3,Van; Car; Motorcycle,18-25,0,3,Moderate,"No. 34 Galle Road, Dehiwela, Colombo, Sri Lanka","No. 34 Galle Road, Dehiwela, Colombo, Sri Lanka","34 Galle Rd, Colombo 00600, Sri Lanka",6.878424499999999,79.8597612
Galle Road Kollupitiya,2025-10-31,09:57,Minor Injury,Head-on Collision,Driver Negligence,2,Three Wheeler; Motorcycle,36-45,0,4,High,"Galle Road Kollupitiya, Colombo, Sri Lanka","Galle Road Kollupitiya, Colombo, Sri Lanka","Galle Rd, Colombo, Sri Lanka",6.9037968,79.8521362
Mutwal Road Mutwal,2025-02-14,10:32,Serious Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Car,26-35,0,3,Moderate,"Mutwal Road Mutwal, Colombo, Sri Lanka","Mutwal Road Mutwal, Colombo, Sri Lanka","Muthuwella Mawatha, Colombo, Sri Lanka",6.9640994,79.8649458
"Junction of Horana Road and Piliyandala Road, Kesbewa",2023-10-26,19:09,Serious Injury,Single Vehicle Crash,Driver Negligence,1,Van,36-45,0,5,Moderate,"Junction of Horana Road and Piliyandala Road, Kesbewa, Colombo, Sri Lanka","Junction of Horana Road and Piliyandala Road, Kesbewa, Colombo, Sri Lanka","Horana Rd & Piliyandala Rd, Pannipitiya 10230, Sri Lanka",6.832952000000001,79.9647521
Sea Street Kotahena,2023-01-30,12:56,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Three Wheeler,26-35,0,3,Low,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Bambalapitiya Railway Station Area,2024-10-06,08:33,Serious Injury,Head-on Collision,Driver Negligence,3,Motorcycle; Bicycle; Three Wheeler,46-55,0,2,High,"Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station Area, Colombo, Sri Lanka","Bambalapitiya Railway Station, Colombo, Sri Lanka",6.8936984,79.8529574
Polduwa Junction,2024-02-26,14:11,Serious Injury,Multi-vehicle Collision,Reckless Driving,2,Three Wheeler; Motorcycle,18-25,0,4,High,"Polduwa Junction, Colombo, Sri Lanka","Polduwa Junction, Colombo, Sri Lanka","WW36+78R, AB15, Sri Jayawardenepura Kotte 10120, Sri Lanka",6.9032414,79.9107575
Slave Island Junction,2024-01-21,17:24,Serious Injury,Rear-end Collision,Failure to Yield,3,Bicycle; Three Wheeler; Car,18-25,0,2,High,"Slave Island Junction, Colombo, Sri Lanka","Slave Island Junction, Colombo, Sri Lanka","Kompannavidiya Flyover, Colombo, Sri Lanka",6.9266493,79.8483123
Bambalapitiya Junction,2024-02-13,11:37,Serious Injury,Motorcycle Collision,Reckless Driving,2,Motorcycle; Bus,18-25,0,4,Low,"Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya Junction, Colombo, Sri Lanka","Bambalapitiya, Colombo 00500, Sri Lanka",6.8894192,79.8575468
Sea Street Kotahena,2022-07-15,16:34,Minor Injury,Motorcycle Collision,Unsafe Lane Change,2,Motorcycle; Bicycle,26-35,0,3,Low,"Sea Street Kotahena, Colombo, Sri Lanka","Sea Street Kotahena, Colombo, Sri Lanka","Sea St, Colombo 01300, Sri Lanka",6.9418464,79.8542501
Union Place Slave Island,2024-04-18,17:18,Serious Injury,Single Vehicle Crash,Driver Fatigue,1,Three Wheeler,36-45,0,5,Moderate,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057
Darley Road Cinnamon Gardens,2025-02-01,11:15,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,2,High,"Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Road Cinnamon Gardens, Colombo, Sri Lanka","Darley Rd, Colombo, Sri Lanka",6.9228616,79.8620451
Thurstan Road Colombo 03,2025-03-03,07:13,Minor Injury,Side-impact Collision,Distracted Driving,3,Car; Motorcycle; Three Wheeler,56+,0,2,High,"Thurstan Road Colombo 03, Colombo, Sri Lanka","Thurstan Road Colombo 03, Colombo, Sri Lanka","Thurstan Rd, Colombo 00700, Sri Lanka",6.9017842,79.8590851
Pettah Clock Tower Area,2023-07-25,23:54,Minor Injury,Pedestrian Collision,Driver Fatigue,1,Three Wheeler,46-55,0,2,Moderate,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Armour Street Junction,2025-08-14,18:56,Minor Injury,Side-impact Collision,Mechanical Failure,1,Lorry,36-45,0,4,Low,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Pettah Clock Tower Area,2024-06-27,11:43,Minor Injury,Multi-vehicle Collision,Driver Fatigue,4,Three Wheeler; Bicycle; Motorcycle; Bus,26-35,0,3,High,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Fort Railway Station Area,2022-06-03,12:20,Fatal,Pedestrian Collision,Driver Negligence,2,Motorcycle; Car,36-45,1,2,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Havelock Road Havelock Town,2025-09-02,04:20,Minor Injury,Rear-end Collision,Driver Fatigue,1,Van,18-25,0,1,High,"Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Road Havelock Town, Colombo, Sri Lanka","Havelock Rd, Colombo 00500, Sri Lanka",6.8903417,79.8638234
Maradana Junction,2024-07-12,07:08,Fatal,Side-impact Collision,Overspeeding,2,Three Wheeler; Motorcycle,18-25,1,2,High,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Borella Junction,2025-12-27,09:46,Serious Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Van,26-35,0,6,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
"Junction of Rajagiriya Flyover and Nawala Road, Rajagiriya",2022-07-17,08:06,Serious Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Van,18-25,0,5,High,"Junction of Rajagiriya Flyover and Nawala Road, Rajagiriya, Colombo, Sri Lanka","Junction of Rajagiriya Flyover and Nawala Road, Rajagiriya, Colombo, Sri Lanka","Rajagiriya Flyover, Rajagiriya Flyover, Sri Lanka",6.9089212,79.8957392
Kandy Road Kadawatha,2024-08-28,12:15,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Bus,26-35,0,3,High,"Kandy Road Kadawatha, Colombo, Sri Lanka","Kandy Road Kadawatha, Colombo, Sri Lanka","Kandy Rd, Colombo, Sri Lanka",6.9559402,79.8879039
"Junction of Old Parliament Road and Polduwa Road, Kotte",2024-12-01,11:57,Minor Injury,Pedestrian Collision,Distracted Driving,1,Motorcycle,56+,0,2,Low,"Junction of Old Parliament Road and Polduwa Road, Kotte, Colombo, Sri Lanka","Junction of Old Parliament Road and Polduwa Road, Kotte, Colombo, Sri Lanka","Polduwa Rd, Sri Jayawardenepura Kotte, Sri Lanka",6.9038478,79.9164219
High Level Road Kirulapone,2023-08-15,16:28,Minor Injury,Head-on Collision,Mechanical Failure,3,Motorcycle; Three Wheeler; Van,46-55,0,1,Moderate,"High Level Road Kirulapone, Colombo, Sri Lanka","High Level Road Kirulapone, Colombo, Sri Lanka","High Level Rd, Colombo, Sri Lanka",6.8775584,79.8793098
Maradana Junction,2022-05-24,06:22,Minor Injury,Rear-end Collision,Driver Negligence,2,Motorcycle; Bicycle,46-55,0,3,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Justice Akbar Mawatha Slave Island,2025-06-09,13:03,Minor Injury,Motorcycle Collision,Overspeeding,2,Motorcycle; Bicycle,26-35,0,3,Low,"Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha Slave Island, Colombo, Sri Lanka","Justice Akbar Mawatha, Colombo, Sri Lanka",6.9238481,79.8503668
Union Place Slave Island,2025-04-20,07:59,Minor Injury,Motorcycle Collision,Driver Negligence,2,Motorcycle; Three Wheeler,46-55,0,2,High,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057
Modara Junction,2025-12-06,12:19,Minor Injury,Side-impact Collision,Driver Negligence,1,Three Wheeler,56+,0,2,Low,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533
Grandpass Junction,2024-11-19,17:13,Minor Injury,Pedestrian Collision,Reckless Driving,1,Motorcycle,26-35,0,1,Low,"Grandpass Junction, Colombo, Sri Lanka","Grandpass Junction, Colombo, Sri Lanka","Grandpass Rd, Colombo, Sri Lanka",6.9432514,79.8685531
Armour Street Junction,2025-09-10,17:38,Minor Injury,Multi-vehicle Collision,Failure to Yield,3,Car; Motorcycle; Three Wheeler,46-55,0,3,Low,"Armour Street Junction, Colombo, Sri Lanka","Armour Street Junction, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Borella Junction,2025-08-28,09:42,Minor Injury,Side-impact Collision,Reckless Driving,1,Bicycle,26-35,0,3,Moderate,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Bauddhaloka Mawatha Cinnamon Gardens,2022-09-29,17:45,Minor Injury,Rear-end Collision,Distracted Driving,2,Motorcycle; Three Wheeler,36-45,0,1,Low,"Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha Cinnamon Gardens, Colombo, Sri Lanka","Bauddhaloka Mawatha, Colombo 00700, Sri Lanka",6.901932,79.8694402
Borella Junction,2024-02-02,07:28,Minor Injury,Side-impact Collision,Drunk Driving,2,Motorcycle; Lorry,36-45,0,4,High,"Borella Junction, Colombo, Sri Lanka","Borella Junction, Colombo, Sri Lanka","18 Dr NM Perera Mawatha Rd, Colombo 00800, Sri Lanka",6.9139525,79.878481
Modara Junction,2024-04-06,23:18,Minor Injury,Single Vehicle Crash,Driver Negligence,1,Motorcycle,26-35,0,1,High,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533
Union Place Slave Island,2024-12-30,18:11,Minor Injury,Rear-end Collision,Mechanical Failure,2,Three Wheeler; Car,36-45,0,3,Low,"Union Place Slave Island, Colombo, Sri Lanka","Union Place Slave Island, Colombo, Sri Lanka","Union Pl, Colombo, Sri Lanka",6.9203664,79.8578057
Modara Junction,2024-12-19,21:11,Minor Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Lorry,26-35,0,2,Moderate,"Modara Junction, Colombo, Sri Lanka","Modara Junction, Colombo, Sri Lanka","Modara, Colombo, Sri Lanka",6.9669247,79.8711533
Maradana Junction,2022-03-10,15:08,Minor Injury,Motorcycle Collision,Poor Visibility,2,Motorcycle; Three Wheeler,36-45,0,2,Moderate,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Duplication Junction,2023-12-25,22:28,Minor Injury,Side-impact Collision,Failure to Yield,2,Motorcycle; Three Wheeler,26-35,0,2,Low,"Duplication Junction, Colombo, Sri Lanka","Duplication Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Angoda Junction,2024-04-01,08:00,Serious Injury,Side-impact Collision,Reckless Driving,4,Bicycle; Bus; Three Wheeler; Car,26-35,0,5,High,"Angoda Junction, Colombo, Sri Lanka","Angoda Junction, Colombo, Sri Lanka","Angoda Junction, Angoda, Sri Lanka",6.9359696,79.92568729999999
Fort Railway Station Area,2024-12-25,08:02,Fatal,Side-impact Collision,Distracted Driving,2,Car; Motorcycle,18-25,1,5,High,"Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway Station Area, Colombo, Sri Lanka","Fort Railway station, Colombo, Sri Lanka",6.9337011,79.85003019999999
Armour Street Pettah,2025-09-29,22:16,Minor Injury,Motorcycle Collision,Distracted Driving,2,Motorcycle; Three Wheeler,26-35,0,3,Low,"Armour Street Pettah, Colombo, Sri Lanka","Armour Street Pettah, Colombo, Sri Lanka","Armour St, Colombo, Sri Lanka",6.9424222,79.8637618
Pettah Clock Tower Area,2024-05-20,11:39,Minor Injury,Multi-vehicle Collision,Unsafe Lane Change,4,Motorcycle; Three Wheeler; Bicycle; Bus,36-45,0,1,Low,"Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah Clock Tower Area, Colombo, Sri Lanka","Pettah, Colombo, Sri Lanka",6.9367858,79.8525385
Maradana Junction,2025-03-02,11:00,Minor Injury,Multi-vehicle Collision,Failure to Yield,4,Bus; Motorcycle; Bicycle; Van,46-55,0,3,Low,"Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo, Sri Lanka","Maradana Junction, Colombo 01000, Sri Lanka",6.928874,79.8637428
Kelaniya Junction,2024-10-28,17:27,Serious Injury,Multi-vehicle Collision,Driver Negligence,3,Bicycle; Motorcycle; Bus,36-45,0,2,High,"Kelaniya Junction, Colombo, Sri Lanka","Kelaniya Junction, Colombo, Sri Lanka","Colombo, Sri Lanka",6.9270786,79.861243
Kollupitiya Flyover Approach,2024-10-14,13:46,Minor Injury,Pedestrian Collision,Driver Negligence,2,Motorcycle; Car,26-35,0,2,Low,"Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya Flyover Approach, Colombo, Sri Lanka","Kollupitiya, Colombo, Sri Lanka",6.912815399999999,79.8506815
Liberty Plaza Area,2022-07-23,10:38,Fatal,Head-on Collision,Driver Negligence,4,Car; Motorcycle; Three Wheeler; Bicycle,36-45,2,7,High,"Liberty Plaza Area, Colombo, Sri Lanka","Liberty Plaza Area, Colombo, Sri Lanka","300 Srimath Anagarika Dharmapala Mawatha, Colombo 00300, Sri Lanka",6.9118996,79.85130869999999
